record_id_1,record_id_2,company_sim,company_clean_1,company_clean_2,label
C39135,C24556,0.981818182,indy s it department,indy s i.t. department,1
C22941,C39865,0.981818182,integrated corporate solutions,integrated corporate solution ics,1
C49308,C29380,0.981818182,melrosemac,melrose mac,1
C23893,C23482,0.981818182,mlj systems,mlj system,1
C38317,C29455,0.981818182,resolve it,resolve i.t,1
C45708,C45902,0.981818182,universeit,universe it,1
D00957,C38082,0.981818182,consultants,consultant,0
C34560,C23140,0.981818182,s and t communications,s and s communications,0
C21912-085,C21912-093,0.981365576,exclusive networks usa dlb communication outreach_q2-q4 2021_amer01210128mdf,exclusive networks usa dlb communication outreach q2-q4 2021_amer01210129mdf,0
C21912-307,C21912-295,0.981245887,exclusive networks usa 29328 q3 23 / exclusive networks usa mdf events - end customer q3 aile par,exclusive networks usa 27491 q3 23 / exclusive networks usa mdf events - end customer q3 aile par,0
C21912-251,C21912-250,0.981059349,exclusive networks usa 22562 q2 23 / exclusive networks usa mdf training with certifications cert,exclusive networks usa 22561 q2 23 / exclusive networks usa mdf training with certifications,0
C36100,C39278,0.980952381,mgh consulting,mg consulting,0
C36261,C51284,0.980645161,transaction network services,transaction network services uk,1
D00340,C34172,0.98,cybergarde,cybergard,0
C34129,C46574,0.98,new vision technology group nj,new vision technology group,1
C23171,C39781,0.98,fortifyit,fortify it,1
C39037,C31512,0.98,pegasys technologies,pegasus technologies,1
C50857,C46170,0.98,viewpointe,viewpoint,0
C25810,C51890,0.979473684,computer specialist,computer specialties,0
C27695,C42632,0.978947368,core 3 technologies,core 1 technologies,0
C41499,C44231,0.978571429,computer consulting group,computer consulting group nj,0
C45615,C49621,0.978571429,open systems technologies de,open systems technologies,1
C21912-235,C21912-238,0.978441656,exclusive networks usa project id 18380 q1 23 / exclusive networks usa mdf gifts - promotional merchan,exclusive networks usa project id 21372 q1 23 / exclusive networks usa mdf gifts - promotional merchandi,0
C25796,C30118,0.978378378,organizational technology systems ots,organizational technology systems,1
C22793,C46214,0.978021978,exclusive networks australia,exclusive networks austria,0
C28644,C34127,0.977777778,net work,net works,0
C51331,C43206,0.977777778,cloudwave,cloudwav,0
D00370,C33169,0.977777778,datashops,datashop,0
C48532,C44191,0.977777778,engler it,engle it,0
C39775,C48612,0.977777778,firebytes,firebyte,0
C31809,C24125,0.977777778,jcomp technologies,jcomm technologies,0
C32114,C25226,0.977777778,qualitech,qualitec,0
C39318,C42331,0.977777778,techvanta,techvana,0
C45781,C39440,0.977777778,computeks,computek,1
C26558,C51496,0.977777778,highlands computer,highland computers,1
C50063,C28116,0.977777778,solved it,solve it,0
C48104,C22787,0.977142857,citic telecom international cpc usa,citic telecom international cpc,1
C36022,C49413,0.977142857,national technology integrators nti,national technology integrators,1
C25572,C39924,0.977124183,kiehl it services,kiehl i t services,1
C31294,C22379,0.976923077,providence technologies nc,providence technologies,1
C32663,C48238,0.976923077,convergent technologies nc,convergent technologies,1
C45838,C24974,0.976470588,advanced network professionals anp,advanced network professionals,1
C27794,C48537,0.976470588,enterprise computing solutions ecs,enterprise computing solutions,1
C41375,C22941,0.976470588,integrated corporate solutions ics,integrated corporate solutions,1
C40522,C31313,0.976470588,international consulting group icg,international consulting group,1
C27155,C27812,0.976470588,n and d solutions,n and b solutions,1
C30740,C26938,0.976470588,secure networks,secure networkers,0
C27347,C24823,0.976470588,synetek solutions,synet solutions,0
C32804,C39358,0.976,data network solutions nj,data network solutions,1
C25284,C39358,0.976,data network solutions sc,data network solutions,1
C21912-410,C21912-377,0.975666667,exclusive networks usa amer02240038mdf partner enablement program - h1 fy24,exclusive networks usa amer02240037mdf partner enablement program h1fy24 q1,0
C27003,C30925,0.975438596,xtel communications,xtek communications,0
C24362,C25167,0.975,information systems services,information systems services iss,1
C29772,C48911,0.975,innovative software shots computers,innovative software s.h.o.t.s. computers,1
C24912,C27345,0.975,tech 2u,tech 2 u,1
C40298,C31811,0.975,troinet,troi.net,1
C34021,C36923,0.975,techproc,techpro,0
C29913,C32463,0.974691358,tricade technology solutions,tribeca technology solutions,0
C21912-001,C21912-142,0.67161535,exclusive networks usa amer01190017mdf-roadshow-q1,exclusive networks usa additional co-branded executive giveaway_q2_22_ coop-us0059b,0
C21912-322,C21912-083,0.670995671,exclusive networks usa c21912-322,exclusive networks usa blitzmasters virtual half day workshop_us coop-us0050_q3 2021,0
C21912-455,C21912-083,0.670995671,exclusive networks usa c21912-455,exclusive networks usa blitzmasters virtual half day workshop_us coop-us0050_q3 2021,0
C21912-490,C21912-293,0.668391414,exclusive networks usa exn club premiere 2025-ruckus-tse-283612-9093.1,exclusive networks usa exclusive networks abbey road sponsorship agreement sentinelone,0
C21912-003,C21912-506,0.666070001,exclusive networks usa amer02190052mdf-emails marketing,exclusive networks usa amer01250101mdf fortinet q1 funded head amer01250025mdf q1 fortinet digital media campaign amer01250080mdf q1 fortinet partner enablement amer01250027mdf q1 fortinet in,0
C21912-087,C21912-476,0.664306875,exclusive networks usa us co-op channelpro xod campaign_ us coop-us0050,exclusive networks usa tse-283612-7979.1_q3 fy24 partner enablement webinar,0
C21912-080,C21912-008,0.661972287,exclusive networks usa exchange boardroom and video sponsorship_ amer05210063mdf q3 2021,exclusive networks usa event-246854-2904.1- future com,0
C21912-001,C21912-143,0.658954248,exclusive networks usa amer01190017mdf-roadshow-q1,exclusive networks usa additional co-branded executive giveaway_q2 22_amer05220064mdf,0
C21912-031,C21912-230,0.650118708,exclusive networks usa gigamon mdf_pro-246854-3428.1.1,exclusive networks usa fortinet s approved pr coop-us0063 giveaways co-branded accelerate q1 fy2023 acti,0
C26792,C36139,0.416666667,zadara,z7 solutions,0
C47303,C43189,0.415873016,6wind,6th street consulting,0
C35178,D01013,0.414529915,qadima,q3 consulting,0
D00959,C29917,0.414529915,peace of mind,pdxmsp,0
C49281,C42213,0.414444444,mav innovation technology,maumee geeks,0
C48459,C40943,0.413888889,dz solutions enterprises,dyvad,0
C34000,C22014,0.413888889,id technologies,icxpress,0
C50989,C28698,0.412820513,3 a.v. industries swith-wifi industries,2w technologies,0
C36497,C25522,0.411538462,pca technology group,pbxsupply.com,0
C42788,C39748,0.411255411,e6 advisors,e47tech,0
C44787,D00684,0.411111111,jb bros capital,jazzee,0
C35178,D01012,0.411111111,qadima,q1 technologies,0
C34229,C44490,0,1 1 technology,59,0
C46637,C47304,0,9 to 5 computer supply dist,8x8,0
C35932,C24284,0,x,wzc networking,0
C27537,C44490,0,1 accord technologies,59,0
C35309,C22780,0,4 best business,3wan,0
C36956,C43967,0,5 design,4xbolt,0
C32320,C47303,0,7 layer solutions,6wind,0
C45071,D00011,0,80/20 management group,7wc1,0
C34630,C47304,0,906 interactive,8x8,0
C35932,C30159,0,x,wyrespeed,0
