record_id,Name,company_clean
C23997,"A1 Cleveland Service Agency, Inc.",a1 cleveland service agency
C47642,"A1 Cleveland Service Agency, Inc.",a1 cleveland service agency
C34831,A1 Computer Consulting,a1 computer consulting
C28583,A1 Computer Services,a1 computer services
C25202,A1 DATA SERVICES,a1 data services
C41510,A1 Net Solutions,a1 net solutions
C31143,"A-1 Voice & Data, Inc.",a-1 voice and data
C41655,A101 Technology LLC,a101 technology
D00020,A2R Networks LLC,a2r networks
C26877,A2U,a2u
C47643,A2U,a2u
C34143,A2Z Business IT,a2z business it
C22837,A2Z DATACOM LLC,a2z datacom
C43522,A2Z FRAMEWORKS INC.,a2z frameworks
C39518,A2Z IT SOLUTIONS,a2z it solutions
C38030,A3,a3
C21535,"A3 Communications, Inc.",a3 communications
C42809,"A3 Communications, Inc. DBA Advantech",a3 communications advantech
C30021,A3 IT Solutions,a3 it solutions
C47644,A3 IT Solutions,a3 it solutions
C47645,A3 Utah LLC,a3 utah
C21536,"A3 Utah, LLC.",a3 utah
C21537,AA Networks,aa networks
C25919,AAA All Voice and Data,aaa all voice and data
C31051,AAA Communications,aaa communications
C34231,"AAA Network Solutions, Inc",aaa network solutions
C21517,AAA Test Company,aaa test company
C32786,AAAntivirus Inc DBA Miehe Enterprises,aaantivirus miehe enterprises
C37064,AABGM Inc,aabgm
C38031,Aaf Consulting,aaf consulting
D00021,AAK World LLC,aak world
C42540,Aamazing IT LLC,aamazing it
C43142,Aaron N Martin ISA LLC,aaron n martin isa
C40560,Aaron S Barnes dba Bandon IT,aaron s barnes bandon it
C27572,"AaSys Gorup, Inc.",aasys gorup
C47646,"AaSys Group, Inc.",aasys group
C24676,Aavex Technology,aavex technology
C34317,Abacode,abacode
C47647,Abacus Computers Inc,abacus computers
C47648,Abacus Computers Inc.,abacus computers
C26268,Abacus Computers Inc. dba ValCom Computer Center,abacus computers valcom computer center
C34998,Abacus Group,abacus group
C25743,Abacus Help Solutions,abacus help solutions
C44300,"Abacus Information Technology, LLC DBA Abacus Group, LLC",abacus information technology abacus group
C26609,Abacus IT,abacus it
C22838,ABACUS IT SOLUTIONS LLC,abacus it solutions
C25091,Abacus Networking,abacus networking
C29125,Abacus Networks LLC,abacus networks
C43283,Abacus Quality System Services Inc,abacus quality system services
C47649,Abacus Quality System Services Inc,abacus quality system services
C32172,Abacus Software Systems Corp DBA Abacus IT,abacus software systems abacus it
C25080,"Abacus Solutions, LLC",abacus solutions
C38867,Abacus Technologies,abacus technologies
C38032,Abacustel Communications Inc,abacustel communications
C42558,Abate Technology Services LLC,abate technology services
C29932,"Abba Technologies, Inc.",abba technologies
C47650,"Abba Technologies, Inc.",abba technologies
C34259,"Abbas Networking Services, Inc",abbas networking services
C39435,Abbott Creative Solutions,abbott creative solutions
C43162,Abbott Technology Solutions LLC DBA TeamLogic IT 64611,abbott technology solutions teamlogic it 64611
C31782,"abc business concepts, inc.",abc business concepts
C23965,ABC Computer Solutions,abc computer solutions
C31420,ABC Computers,abc computers
C51238,ABC Home & Business Solutions LLC,abc home and business solutions
C26523,ABC Services Inc,abc services
C34043,ABC Solutions Inc,abc solutions
C28671,ABC Technology Group,abc technology group
C46796,ABCComputech,abccomputech
C43520,ABD Technology Inc,abd technology
C47651,ABD Technology Inc,abd technology
C43810,AbdelTech,abdeltech
D00022,Abel Cyber Security and Privacy,abel cyber security and privacy
C44904,"Abel Solutions, LLC",abel solutions
C39519,Aberdean Consulting. LLC,aberdean consulting
C45456,Abetech,abetech
C33099,ABI Network Services Inc,abi network services
C23463,Abidance Consulting,abidance consulting
C47652,Abidance Consulting,abidance consulting
D00023,Abidi Solutions,abidi solutions
C21538,Abiding Harvest United Methodist Church,abiding harvest united methodist church
C34866,Ability Technologies,ability technologies
C33710,Abira Security Corp,abira security
C47080,"Abitronix, LLC",abitronix
C35177,ABK LLC dba Next Level Tech,abk next level tech
C47305,ABL Solutions,abl solutions
C41893,"Able IT, LLC",able it
C33147,"Able, Inc (dba AMES Business & Learning Environments, Inc)",able ames business and learning environments
C38520,ABM (Allen Business Machines),abm allen business machines
C50644,ABM Technology Group,abm technology group
C47306,Abnormal Security Corporation,abnormal security
C43886,About Computing and Consulting LLC,about computing and consulting
C46252,Above & Beyond Electronics LLC,above and beyond electronics
C41620,Above & Beyond IT LLC,above and beyond it
C23605,AbovePoint Technologies,abovepoint technologies
C47653,AbovePoint Technologies,abovepoint technologies
C47654,"ABP Digital, Inc.",abp digital
C40482,ABR Systems Group LLC,abr systems group
C32030,Abra Collabra,abra collabra
C36908,Abrahams Consulting LLC,abrahams consulting
C47655,Abrahams Consulting LLC,abrahams consulting
C26979,ABRAZO Technologies LLC,abrazo technologies
C30609,"ABRZ International Ltd, dba Atlaz International dba Atlaz Computer Supply",abrz international atlaz international atlaz computer supply
C44492,ABS Group,abs group
C22937,"ABS Innovative Systems and Solutions, Inc.",abs innovative systems and solutions
C47656,"ABS Solutions, LLC",abs solutions
C51503,ABS Technology LLC,abs technology
D00024,Absegami LLC,absegami
C40985,ABSG Consulting Inc,absg consulting
C45153,ABSO Technologies,abso technologies
C25636,Absolut IT,absolut it
C47657,"Absolut IT, LLC",absolut it
C27199,Absolute AV Consulting LLC,absolute av consulting
C46121,ABSOLUTE BUSINESS SOLUTIONS INC,absolute business solutions
C39520,Absolute Business Solutions LLC,absolute business solutions
C25203,Absolute Central Technologies Inc.,absolute central technologies
C21539,Absolute Computer Systems,absolute computer systems
C39521,Absolute Logic Inc,absolute logic
C28749,"Absolute Network Solutions, Inc",absolute network solutions
C46797,Absolute Software,absolute software
C47658,Absolute Tech Solutions LLC,absolute tech solutions
C21540,Absolute Technology Solutions,absolute technology solutions
C32156,"ABSS, Inc. - Computer Networks",abss - computer networks
C26600,"ABT Solutions, LLC",abt solutions
C26641,Abtech Technologies,abtech technologies
C46521,Abtech Technologies,abtech technologies
C44493,ABTEK Solutions,abtek solutions
C35695,Abts Computer,abts computer
C23815,"ABYX Business Systems, Inc",abyx business systems
C41221,AC4S Technnologies.com,ac4s technnologies.com
C39522,AC4S Technologies,ac4s technologies
D00025,Acachi LLC,acachi
C32477,Acacia Technology & Consulting,acacia technology and consulting
C35657,Academic technologies inc,academic technologies
C24005,"Acadia Solutions, Inc",acadia solutions
C26509,"Acadia Technology Group, LLC",acadia technology group
C45241,Acalvio Technologies,acalvio technologies
C24641,"Acanthus Technology, LLC",acanthus technology
C39066,"ACANTHUS TECHNOLOGY, LLC",acanthus technology
C45850,Acapella Technologies,acapella technologies
C45242,ACC,acc
C29118,"ACC Technical Services, Inc.",acc technical services
C45051,accel bi corporation,accel bi
C45281,Accel Op,accel op
C39523,Accel Technology Group,accel technology group
C47659,"Accel Technology Group, LLC",accel technology group
C27810,Accelera IT Solutions,accelera it solutions
C25719,Accelera Solutions,accelera solutions
C39524,ACCELERATE INC.,accelerate
C45983,Accelerate Partners,accelerate partners
C34965,Accelerate Tech,accelerate tech
C27458,Accelerate Technologies LLC,accelerate technologies
C47660,Accelerate Technology Partners,accelerate technology partners
D00026,"Accelerated Cloud Solutions, LLC",accelerated cloud solutions
C23363,"Accelerated Solutions, LLC",accelerated solutions
C41853,Accelerated Technologies,accelerated technologies
C28818,"Accelerated Technology, Llc",accelerated technology
C22839,Accelink USA,accelink usa
C28361,"Acceliris, LLC",acceliris
C44102,"Accellera Solutions, Inc.",accellera solutions
C47091,"Accellis Technology Group, Inc.",accellis technology group
C28918,Accend Networks,accend networks
C29382,"AcceNet, Inc.",accenet
C34867,"Accent Computer Solutions, Inc.",accent computer solutions
C34219,Accent Consulting Services LLC,accent consulting services
C28163,"Accent Imaging, Inc.",accent imaging
C51337,Accentcare Inc (End User ATC),accentcare end user atc
C46065,"Accentedge, LLC",accentedge
C39525,AccentLogic,accentlogic
D00027,Access Computer Services LLC DBA Nerds in a Flash,access computer services nerds in a flash
C34370,"Access Computer Systems, Inc.",access computer systems
C43191,Access Computers Inc,access computers
C35777,"Access Consulting, PC",access consulting
C25464,Access Interactive,access interactive
C22840,"ACCESS IT GROUP, INC.",access it group
C41791,Access My Office LLC DBA Neighborhood Nerd,access my office neighborhood nerd
C39526,Access Networks,access networks
C39527,ACCESS NETWORKS INC.,access networks
C51408,"ACCESS NETWORKS, INC.",access networks
C21541,Access Office Technologies,access office technologies
C24749,Access One Inc.,access one
D00028,Access Online Inc,access online
C51418,Access Point Consulting,access point consulting
C34003,Access Point Corp,access point
D00029,"Access Scanning Document Services, LLC",access scanning document services
C35339,Access Systems,access systems
C43845,Access Systems,access systems
C32952,"Access Systems, Inc.",access systems
C40481,"Access Systems, Inc. (IA)",access systems ia
C51491,Access Tech LLC,access tech
C29351,Access Technologies,access technologies
C46712,"Access Unlimited & Security, Inc.",access unlimited and security
C25674,Accessium Group Inc.,accessium group
C47661,Accessory ETC,accessory etc
C22841,ACCI,acci
C44155,Acciona Energy USA Global,acciona energy usa global
C26279,Acclaim Networks,acclaim networks
C47662,Accoona Global,accoona global
C28082,"Accordant Technology, Inc.",accordant technology
C46798,ACCOTEQ,accoteq
D00030,Account Cloud First I T,account cloud first i t
C47663,"Accountabilit, LLC",accountabilit
C32984,accounteks,accounteks
C42784,"Accounteks.NET, Inc.",accounteks.net
C32983,Accounting Equipment Corp dba AE Business Solutions,accounting equipment ae business solutions
C42898,Accounting Technology Specialists,accounting technology specialists
C47664,Accounting Technology Specialists,accounting technology specialists
C51955,AccreditedData Centers,accrediteddata centers
C45379,"AccTech Solutions, Inc.",acctech solutions
C34232,Accucode,accucode
C21542,"Accudata Systems, Inc",accudata systems
C25935,Acculend,acculend
C45072,Accupoint Software,accupoint software
C36957,"Accurate Cloud Solutions, LLC",accurate cloud solutions
C21543,AccuservHost,accuservhost
C36328,AccuTech International,accutech international
C35980,Accutek Technologies,accutek technologies
C47665,Accutek Technologies,accutek technologies
C21544,"Accuvant, Inc",accuvant
C43533,Ace Cloud Hosting,ace cloud hosting
C35464,ACE Computer Systems,ace computer systems
C45409,"Ace Internet Services, Inc.",ace internet services
C28832,ACE IT Solutions,ace it solutions
C43815,Ace Solutions LLC,ace solutions
C44663,Ace Technologies Inc dba Nutmeg Technologies,ace technologies nutmeg technologies
C34624,ACE Technology Advisors,ace technology advisors
C46051,Ace Technology LLC,ace technology
C26059,"AceApplications, LLC",aceapplications
C41009,Acenet Inc,acenet
C42583,ACES Management Group LLC dba DYFNZ,aces management group dyfnz
C28541,Achieve 1,achieve 1
C26884,Achieve Networks,achieve networks
C47666,Achieve Networks,achieve networks
C39011,ACHILLTEK LLC,achilltek
C45243,ACI INFOTECH,aci infotech
C40983,ACI Solutions,aci solutions
D00031,acic consulting corporation,acic consulting
C26976,ACIERNET USA INC.,aciernet usa
C21545,ACIS Computers(Sivarts ),acis computers sivarts
C50958,Acktinos,acktinos
C44494,ACL Digital,acl digital
C45244,ACM IT,acm it
C25723,Acme,acme
C27483,Acme Business,acme business
C34723,ACME Computer,acme computer
C29290,Acme Micro-Systems,acme micro-systems
C33028,Acmera Corporation,acmera
C47667,Acmera Corporation,acmera
C42069,ACNS,acns
C38521,ACNS Technologies,acns technologies
C31530,"ACNT.COM,Inc. (dba Advanced Computers & Networking Technology)",acnt.com advanced computers and networking technology
C34106,Acordis International Corp,acordis international
C21546,aCoupleofGurus,acoupleofgurus
C41151,Acoustic Blueprint,acoustic blueprint
C29840,"Acoustic Design, LLC",acoustic design
C45457,ACP Holding Deutschland GmbH,acp holding deutschland
C29001,ACP Technologies,acp technologies
C47668,ACP Technologies,acp technologies
C26478,"ACR 2 Solutions, Inc.",acr 2 solutions
C50800,ACR Solutions LLC,acr solutions
C45245,Acromove,acromove
C46713,Acronis,acronis
C47669,"Acropolis Computers, Inc",acropolis computers
C31672,Acropolis Technology Group,acropolis technology group
C43452,Acruity Consulting,acruity consulting
C24944,AcruxConsulting,acruxconsulting
C46784,ACS Computer Services Inc.,acs computer services
C30431,ACS International Resources Inc,acs international resources
C25648,ACS Service Systems,acs service systems
C39528,"ACS Services, Inc",acs services
C34107,"ACS Systems, LLC DBA American Control Systems, Inc.",acs systems american control systems
C39529,ACS Technologies LLC (p),acs technologies p
C37406,ACSESSA Inc.,acsessa
C45410,"Acsis, Inc.",acsis
C44495,Act 1 Partners,act 1 partners
C47670,Act Now Technologies,act now technologies
C23974,"Act Systems, Ltd.",act systems
C51127,"ACT Tech, LLC",act tech
C51928,ACT Technologies,act technologies
C45073,Act Tek,act tek
C21547,"Actinion Solutions, Inc. (Actinion LLC)",actinion solutions actinion
C32557,Action ASP,action asp
C37396,Action Computer Services,action computer services
C41598,"Action Computer Services, LLC",action computer services
C21548,Action Network Solutions,action network solutions
C47671,Action Network Solutions,action network solutions
C37373,Action Technologies Group,action technologies group
C25563,"Action Technology Services, Inc.",action technology services
C47672,"Action Technology Services, Inc.",action technology services
C21549,Action Uptime IT Consulting,action uptime it consulting
C46122,ActioNet Inc,actionet
C44279,Actiontek Computer Services llc,actiontek computer services
C42590,Activated Communications Inc,activated communications
C26387,"Active Computer of Washington, LLC",active computer of washington
C36958,"Active Group, Inc. DBA Active Technology",active group active technology
C43192,Active IT Solutions Inc,active it solutions
C26157,Active Network Systems Corp.,active network systems
C33105,Active Networks,active networks
C47673,Active Networks,active networks
C45977,"Active Networks, LLC",active networks
C39067,ACTIVE ONLINE INC,active online
C31796,"Active Remote Management & Support Services, LLC.",active remote management and support services
C47674,"Active Remote Management & Support Services, LLC.",active remote management and support services
C39530,ACTIVECYBER. LLC,activecyber
C34130,ACTS LLC,acts
C45458,Acture Solutions Inc,acture solutions
C36555,"Acture Solutions, Inc.",acture solutions
C35174,"ACU Web, Inc.",acu web
C26008,Acuative,acuative
C45246,ACUITY,acuity
C32074,Acuity Solutions,acuity solutions
C43051,Acuity Solutions Consulting,acuity solutions consulting
